psp,txn_id,order_id,operation_type,engine_status,engine_at,provider_ref,provider_type,provider_status,provider_at,currency,engine_amount,provider_amount,engine_in_period,provider_in_period,engine_usd,provider_usd,cause,diff_usd,cause_bucket
paypal_us,TXN-101144,ORD-501144,SALE,settled,2026-06-02 08:54:04,67NK7ADX0ZZHN0SRC,Website Payment,Completed,2026-06-02 08:54:04,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101267,ORD-501267,SALE,settled,2026-06-07 12:07:42,6AKUE9J8UECW7ZPQ8,Website Payment,Completed,2026-06-07 12:07:42,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100267,ORD-500267,SALE,settled,2026-06-13 12:05:18,6BDE3Z077WYWD4QBJ,Website Payment,Completed,2026-06-13 12:05:18,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100581,ORD-500581,SALE,settled,2026-06-16 13:41:55,6G0FMZGHVV38XPD47,Website Payment,Completed,2026-06-16 13:41:55,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100117,ORD-500117,SALE,settled,2026-06-02 09:52:51,6HHMRNVCBD2APWT9E,Website Payment,Completed,2026-06-02 09:52:51,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100877,ORD-500877,SALE,settled,2026-06-27 13:02:14,6HN4MZFMSFSY1WYKW,Website Payment,Completed,2026-06-27 13:02:14,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100918,ORD-500918,SALE,settled,2026-06-22 11:58:42,6NMH3NHU3MDSCJ28C,Website Payment,Completed,2026-06-22 11:58:42,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-107797,ORD-500856,REFUND,settled,2026-06-05 09:33:04,6S6WRRR0CCZNTYQPH,Refund,Refunded,2026-06-05 09:33:04,USD,12.50,-12.50,true,true,-12.50,-12.50,matched,0.00,matched
paypal_us,TXN-100528,ORD-500528,SALE,settled,2026-06-11 07:34:30,6VFQ79TGLS11U7TRS,Website Payment,Completed,2026-06-11 07:34:30,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100020,ORD-500020,SALE,settled,2026-06-28 10:18:29,7BGMVMJ5CMPYF7UPB,Website Payment,Completed,2026-06-28 10:18:29,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100205,ORD-500205,SALE,settled,2026-06-02 19:12:39,7C5TWQ3XWBFM3LRTM,Website Payment,Completed,2026-06-02 19:12:39,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101185,ORD-501185,SALE,settled,2026-06-25 15:33:00,7G1C77WYERWNTTAZD,Website Payment,Completed,2026-06-25 15:33:00,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100719,ORD-500719,SALE,settled,2026-06-25 12:56:04,7NF5YYHSJ5G8Y1HKH,Website Payment,Completed,2026-06-25 12:56:04,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100861,ORD-500861,SALE,settled,2026-06-12 08:31:56,7XPBMVNSQBD81SQJC,Website Payment,Completed,2026-06-12 08:31:56,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101907,ORD-501907,SALE,settled,2026-06-27 13:29:34,7YWDEWX9MUA5WVMQ4,Website Payment,Completed,2026-06-27 13:29:34,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100328,ORD-500328,SALE,settled,2026-06-06 20:06:18,8EEAFW8JB40Y8UF1E,Website Payment,Completed,2026-06-06 20:06:18,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100687,ORD-500687,SALE,settled,2026-06-23 12:02:38,8LZ8BQAGFCJM0YX53,Website Payment,Completed,2026-06-23 12:02:38,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-101181,ORD-501181,SALE,settled,2026-06-02 12:32:56,9NM69LAKEG0R1FH35,Website Payment,Completed,2026-06-02 12:32:56,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100482,ORD-500482,SALE,settled,2026-06-08 16:10:26,A24GGUCY17SY1RVU8,Website Payment,Completed,2026-06-08 16:10:26,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101429,ORD-501429,SALE,settled,2026-06-19 16:31:20,ARJZPV3GFSZPEZ0LX,Website Payment,Completed,2026-06-19 16:31:20,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100557,ORD-500557,SALE,settled,2026-06-29 19:08:13,B4C55WSVWWEJCT1JS,Website Payment,Completed,2026-06-29 19:08:13,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-102028,ORD-502028,SALE,settled,2026-06-13 15:53:42,BT4AXEVZAWZK5D1VS,Website Payment,Completed,2026-06-13 15:53:42,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-100213,ORD-500213,SALE,settled,2026-06-13 09:44:35,CB4W0DVT9QRAZ7U00,Website Payment,Completed,2026-06-13 09:44:35,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101565,ORD-501565,SALE,settled,2026-06-28 11:51:56,CGSRPDCET82JMH1G7,Website Payment,Completed,2026-06-28 11:51:56,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100279,ORD-500279,SALE,settled,2026-06-22 16:57:21,CZBQU75T7B8E2TW66,Website Payment,Completed,2026-06-22 16:57:21,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100350,ORD-500350,SALE,settled,2026-06-28 18:15:09,D03FV31FFRDXZRN70,Website Payment,Completed,2026-06-28 18:15:09,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-107986,ORD-507809,SALE,settled,2026-06-11 11:51:00,DAB2MG8NSYNB3UXDY,Website Payment,Completed,2026-06-11 11:51:00,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-107986,ORD-507809,SALE,settled,2026-06-11 11:51:00,DAB2MG8NSYNB3UXDY,Website Payment,Completed,2026-06-11 11:51:00,USD,9.99,9.99,true,true,0.00,9.99,duplicate_row_in_export,9.99,explained
paypal_us,TXN-100392,ORD-500392,SALE,settled,2026-06-25 09:51:20,DDG2KTDS9YEZVXQEX,Website Payment,Completed,2026-06-25 09:51:20,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100693,ORD-500693,SALE,declined,2026-06-21 11:27:17,DWXGZYN35DS2X67YL,Website Payment,Denied,2026-06-21 11:57:17,USD,24.99,24.99,true,true,0.00,0.00,matched_declined,0.00,matched
paypal_us,TXN-101694,ORD-501694,SALE,settled,2026-06-01 16:52:13,FGX00CW9QVJPLZYGD,Website Payment,Completed,2026-06-01 16:52:13,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100858,ORD-500858,SALE,settled,2026-06-22 11:24:48,FLY9W98S0GCSV98X7,Website Payment,Completed,2026-06-22 11:24:48,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100691,ORD-500691,SALE,declined,2026-06-29 09:30:18,G040D6KKVNCJR2LNF,Website Payment,Denied,2026-06-29 10:00:18,USD,9.99,9.99,true,true,0.00,0.00,matched_declined,0.00,matched
paypal_us,TXN-101587,ORD-501587,SALE,settled,2026-06-09 19:33:55,GN9632M9MKNKQQ67M,Website Payment,Completed,2026-06-09 19:33:55,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100546,ORD-500546,SALE,settled,2026-06-10 17:21:37,H2C1QW70D65XZB71A,Website Payment,Completed,2026-06-10 17:21:37,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101811,ORD-501811,SALE,settled,2026-06-21 18:36:41,HEKRRTUKPMFJS12A1,Website Payment,Completed,2026-06-21 18:36:41,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100904,ORD-500904,SALE,declined,2026-06-20 17:07:39,HFZR6CLJ5218T17F2,Website Payment,Denied,2026-06-20 17:37:39,USD,9.99,9.99,true,true,0.00,0.00,matched_declined,0.00,matched
paypal_us,TXN-101675,ORD-501675,SALE,settled,2026-06-03 20:13:50,HKBH25KAQGZD8CQMN,Website Payment,Completed,2026-06-03 20:13:50,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-102041,ORD-502041,SALE,settled,2026-06-01 19:11:16,HMNERYUW5U5UL0DKS,Website Payment,Completed,2026-06-01 19:11:16,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100780,ORD-500780,SALE,settled,2026-06-28 08:40:07,HQUCQNX0UTRUWD9Z0,Website Payment,Completed,2026-06-28 08:40:07,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-101877,ORD-501877,SALE,settled,2026-06-02 12:51:58,HZLGP336733Y06ZDK,Website Payment,Completed,2026-06-02 12:51:58,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100838,ORD-500838,SALE,settled,2026-06-30 19:12:35,JMHLNJM8NN94VAZAW,Website Payment,Completed,2026-06-30 19:12:35,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101491,ORD-501491,SALE,settled,2026-06-13 09:07:18,JTZWHQH4USAJX7XK2,Website Payment,Completed,2026-06-13 09:07:18,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101216,ORD-501216,SALE,settled,2026-06-21 09:56:47,K1ZTVWKMQJKMLYGRU,Website Payment,Completed,2026-06-21 09:56:47,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-101551,ORD-501551,SALE,settled,2026-06-08 11:16:08,KA2AJHQJ2E8V508JD,Website Payment,Completed,2026-06-08 11:16:08,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-102032,ORD-502032,SALE,settled,2026-06-08 10:27:39,KNHF91QYZJHYBFRLY,Website Payment,Completed,2026-06-08 10:27:39,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101468,ORD-501468,SALE,settled,2026-06-03 10:18:47,L88PYJBBY4D2BKUDT,Website Payment,Completed,2026-06-03 10:18:47,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101980,ORD-501980,SALE,settled,2026-06-14 19:11:10,LC67XMU1L120VFVR9,Website Payment,Completed,2026-06-14 19:11:10,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101773,ORD-501773,SALE,settled,2026-06-19 17:07:37,M9CBPHNSGWQPGZQ3Y,Website Payment,Completed,2026-06-19 17:07:37,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100973,ORD-500973,SALE,settled,2026-06-04 15:23:24,M9TKRMMQYRQXGH35T,Website Payment,Completed,2026-06-04 15:23:24,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101139,ORD-501139,SALE,settled,2026-06-13 13:28:32,MEBCK9DGBYF881WFW,Website Payment,Completed,2026-06-13 13:28:32,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101292,ORD-501292,SALE,settled,2026-06-07 15:14:07,MLD02WHPHJ5N3ZGDP,Website Payment,Completed,2026-06-07 15:14:07,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101751,ORD-501751,SALE,settled,2026-06-29 16:54:11,MNGM2FVLRPSH6NR3Z,Website Payment,Completed,2026-06-29 16:54:11,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100300,ORD-500300,SALE,settled,2026-06-29 18:59:22,MNXRNYSXF7SQ79LEJ,Website Payment,Completed,2026-06-29 18:59:22,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101541,ORD-501541,SALE,settled,2026-06-17 14:36:17,NCQGYWTPNC1RDRGR9,Website Payment,Completed,2026-06-17 14:36:17,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101599,ORD-501599,SALE,settled,2026-06-09 13:41:53,NQL4M8JS5GY5BCAQ7,Website Payment,Completed,2026-06-09 13:41:53,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100360,ORD-500360,SALE,settled,2026-06-06 09:42:49,P4UU9WFE3RF53RU07,Website Payment,Completed,2026-06-06 09:42:49,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101530,ORD-501530,SALE,settled,2026-06-15 15:01:22,PTYUEWHAKF19CDW8H,Website Payment,Completed,2026-06-15 15:01:22,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101037,ORD-501037,SALE,settled,2026-06-21 10:51:53,Q6ZR4R88D9GRC4EFC,Website Payment,Completed,2026-06-21 10:51:53,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100195,ORD-500195,SALE,settled,2026-06-02 13:37:03,Q8NWZREUTKWAD2UFH,Website Payment,Completed,2026-06-02 13:37:03,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101611,ORD-501611,SALE,settled,2026-06-27 13:05:45,QMQYQ4RVWRPSKLD6J,Website Payment,Completed,2026-06-27 13:05:45,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100950,ORD-500950,SALE,settled,2026-06-14 11:34:41,QY5M70CJ46XHKMQ6C,Website Payment,Completed,2026-06-14 11:34:41,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-101632,ORD-501632,SALE,settled,2026-06-07 16:35:06,R11PNAXTDNDFBZ3SA,Website Payment,Completed,2026-06-07 16:35:06,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100834,ORD-500834,SALE,settled,2026-06-22 19:49:32,R4BBN69JWER3UBJJ0,Website Payment,Completed,2026-06-22 19:49:32,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100704,ORD-500704,SALE,settled,2026-06-08 12:28:18,R8MCV0AKWR78X6HJN,Website Payment,Completed,2026-06-08 12:28:18,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101832,ORD-501832,SALE,settled,2026-06-19 16:19:36,RBK4BKD8Q7TDVEPT8,Website Payment,Completed,2026-06-19 16:19:36,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100821,ORD-500821,SALE,settled,2026-06-19 19:13:36,RXLAH6JPC6EB9ARWD,Website Payment,Completed,2026-06-19 19:13:36,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101156,ORD-501156,SALE,settled,2026-06-29 15:00:17,S2GJS4JLAAFX4HCM9,Website Payment,Completed,2026-06-29 15:00:17,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-107805,ORD-501210,REFUND,settled,2026-06-07 13:40:38,SDMYFBS32CJ1LBSLE,Refund,Refunded,2026-06-07 13:40:38,USD,9.99,-9.99,true,true,-9.99,-9.99,matched,0.00,matched
paypal_us,TXN-101968,ORD-501968,SALE,settled,2026-06-01 12:22:13,SGLK9EZPC23UY22W3,Website Payment,Completed,2026-06-01 12:22:13,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101545,ORD-501545,SALE,settled,2026-06-04 15:15:52,SMFUH9BZCD6D9SJ2U,Website Payment,Completed,2026-06-04 15:15:52,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100751,ORD-500751,SALE,settled,2026-06-20 11:38:05,T3KE9H212K4UHVA5Z,Website Payment,Completed,2026-06-20 11:38:05,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101853,ORD-501853,SALE,settled,2026-06-15 18:57:34,TQ3M90N9GF9YZFZPL,Website Payment,Completed,2026-06-15 18:57:34,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101555,ORD-501555,SALE,settled,2026-06-26 18:01:19,TRYYHR0E3AF45KQX7,Website Payment,Completed,2026-06-26 18:01:19,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101085,ORD-501085,SALE,settled,2026-06-05 13:24:29,UJT27WE0EDPBF4RB9,Website Payment,Completed,2026-06-05 13:24:29,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100467,ORD-500467,SALE,settled,2026-06-28 12:33:20,ULFBX16J98RXZV2B6,Website Payment,Completed,2026-06-28 12:33:20,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100288,ORD-500288,SALE,settled,2026-06-18 08:44:03,UY6HAR1T8EVB1NYBM,Website Payment,Completed,2026-06-18 08:44:03,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100337,ORD-500337,SALE,settled,2026-06-10 09:09:46,VDP9KTDRU40U4QDY2,Website Payment,Completed,2026-06-10 09:09:46,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100223,ORD-500223,SALE,settled,2026-06-06 13:08:48,VEGUKFEF3T86ZN7H9,Website Payment,Completed,2026-06-06 13:08:48,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101456,ORD-501456,SALE,settled,2026-06-29 17:38:32,VEQVZ3ZTXJA1XTT14,Website Payment,Completed,2026-06-29 17:38:32,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-100470,ORD-500470,SALE,settled,2026-06-22 19:13:45,VNMMF48V1DVJ74V57,Website Payment,Completed,2026-06-22 19:13:45,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100664,ORD-500664,SALE,settled,2026-06-25 16:37:56,W000X1YYPS63DVL1E,Website Payment,Completed,2026-06-25 16:37:56,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100512,ORD-500512,SALE,settled,2026-06-06 10:53:07,WUVUXV2L8QW4J9CEC,Website Payment,Completed,2026-06-06 10:53:07,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100646,ORD-500646,SALE,settled,2026-06-02 13:36:52,XNT03LDDP9QCAD9WB,Website Payment,Completed,2026-06-02 13:36:52,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100243,ORD-500243,SALE,settled,2026-06-21 20:21:20,XSNJAYTDRRKU60L3L,Website Payment,Completed,2026-06-21 20:21:20,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100013,ORD-500013,SALE,declined,2026-06-23 14:54:33,XX3HT3WKEZ76UBP9V,Website Payment,Denied,2026-06-23 15:24:33,USD,9.99,9.99,true,true,0.00,0.00,matched_declined,0.00,matched
paypal_us,TXN-101251,ORD-501251,SALE,settled,2026-06-05 18:56:59,Y9K7PSWNCEFAYMCTD,Website Payment,Completed,2026-06-05 18:56:59,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-101184,ORD-501184,SALE,settled,2026-06-28 18:40:07,YC2H45VSTG94G24HQ,Website Payment,Completed,2026-06-28 18:40:07,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100219,ORD-500219,SALE,settled,2026-06-16 08:11:02,YLYZ7HSHVNDJTY920,Website Payment,Completed,2026-06-16 08:11:02,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100859,ORD-500859,SALE,settled,2026-06-12 15:45:22,YW5JG9QQE9X551BH8,Website Payment,Completed,2026-06-12 15:45:22,USD,59.99,59.99,true,true,59.99,59.99,matched,0.00,matched
paypal_us,TXN-100789,ORD-500789,SALE,settled,2026-06-01 16:58:39,Z4BLUZCUSML2MQ1WL,Website Payment,Completed,2026-06-01 16:58:39,USD,4.99,4.99,true,true,4.99,4.99,matched,0.00,matched
paypal_us,TXN-101927,ORD-501927,SALE,settled,2026-06-13 13:30:32,ZDWQ9N42VDZZKX0MY,Website Payment,Completed,2026-06-13 13:30:32,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100320,ORD-500320,SALE,settled,2026-06-19 11:17:20,ZKUABZYX1LJFF36VN,Website Payment,Completed,2026-06-19 11:17:20,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100883,ORD-500883,SALE,settled,2026-06-09 10:00:57,ZNEJEY6RTJQPSUUZH,Website Payment,Completed,2026-06-09 10:00:57,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100873,ORD-500873,SALE,settled,2026-06-23 11:34:46,ZNW09FPPSSLWZ13BE,Website Payment,Completed,2026-06-23 11:34:46,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-100773,ORD-500773,SALE,settled,2026-06-14 12:58:16,00UJ83WB59DTTLC9P,Website Payment,Completed,2026-06-14 12:58:16,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-100092,ORD-500092,SALE,settled,2026-06-06 15:38:54,0E60WKF7X2WZW7WDH,Website Payment,Completed,2026-06-06 15:38:54,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101200,ORD-501200,SALE,settled,2026-06-21 15:30:54,0JNK6F2LN7TNR76ZN,Website Payment,Completed,2026-06-21 15:30:54,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101321,ORD-501321,SALE,settled,2026-06-28 15:25:48,0Y24YPZG3BSZQ0RK2,Website Payment,Completed,2026-06-28 15:25:48,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101299,ORD-501299,SALE,settled,2026-06-07 16:34:25,1282HN3G04MXLTF2T,Website Payment,Completed,2026-06-07 16:34:25,USD,24.99,24.99,true,true,24.99,24.99,matched,0.00,matched
paypal_us,TXN-101269,ORD-501269,SALE,settled,2026-06-28 17:08:47,16GFP0WG7P970J2TW,Website Payment,Completed,2026-06-28 17:08:47,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
paypal_us,TXN-101324,ORD-501324,SALE,settled,2026-06-10 11:59:17,19SRF1YW3X8XGXR0Z,Website Payment,Completed,2026-06-10 11:59:17,USD,9.99,9.99,true,true,9.99,9.99,matched,0.00,matched
