psp,txn_id,order_id,operation_type,provider_ref,currency,cause,corrected_from,engine_usd,provider_usd,corrected_usd,correction_usd
paypal_us,TXN-100904,ORD-500904,SALE,HFZR6CLJ5218T17F2,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101675,ORD-501675,SALE,HKBH25KAQGZD8CQMN,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-102041,ORD-502041,SALE,HMNERYUW5U5UL0DKS,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100780,ORD-500780,SALE,HQUCQNX0UTRUWD9Z0,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-101877,ORD-501877,SALE,HZLGP336733Y06ZDK,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100838,ORD-500838,SALE,JMHLNJM8NN94VAZAW,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101491,ORD-501491,SALE,JTZWHQH4USAJX7XK2,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101216,ORD-501216,SALE,K1ZTVWKMQJKMLYGRU,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-101551,ORD-501551,SALE,KA2AJHQJ2E8V508JD,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-102032,ORD-502032,SALE,KNHF91QYZJHYBFRLY,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101468,ORD-501468,SALE,L88PYJBBY4D2BKUDT,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101980,ORD-501980,SALE,LC67XMU1L120VFVR9,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101773,ORD-501773,SALE,M9CBPHNSGWQPGZQ3Y,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100973,ORD-500973,SALE,M9TKRMMQYRQXGH35T,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101139,ORD-501139,SALE,MEBCK9DGBYF881WFW,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101292,ORD-501292,SALE,MLD02WHPHJ5N3ZGDP,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101751,ORD-501751,SALE,MNGM2FVLRPSH6NR3Z,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100300,ORD-500300,SALE,MNXRNYSXF7SQ79LEJ,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101541,ORD-501541,SALE,NCQGYWTPNC1RDRGR9,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101599,ORD-501599,SALE,NQL4M8JS5GY5BCAQ7,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100360,ORD-500360,SALE,P4UU9WFE3RF53RU07,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101530,ORD-501530,SALE,PTYUEWHAKF19CDW8H,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101037,ORD-501037,SALE,Q6ZR4R88D9GRC4EFC,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100195,ORD-500195,SALE,Q8NWZREUTKWAD2UFH,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101611,ORD-501611,SALE,QMQYQ4RVWRPSKLD6J,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100950,ORD-500950,SALE,QY5M70CJ46XHKMQ6C,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101632,ORD-501632,SALE,R11PNAXTDNDFBZ3SA,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100834,ORD-500834,SALE,R4BBN69JWER3UBJJ0,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100704,ORD-500704,SALE,R8MCV0AKWR78X6HJN,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101832,ORD-501832,SALE,RBK4BKD8Q7TDVEPT8,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100821,ORD-500821,SALE,RXLAH6JPC6EB9ARWD,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101156,ORD-501156,SALE,S2GJS4JLAAFX4HCM9,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-107805,ORD-501210,REFUND,SDMYFBS32CJ1LBSLE,USD,matched,engine,-9.99,-9.99,-9.99,0.00
paypal_us,TXN-101968,ORD-501968,SALE,SGLK9EZPC23UY22W3,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101545,ORD-501545,SALE,SMFUH9BZCD6D9SJ2U,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100751,ORD-500751,SALE,T3KE9H212K4UHVA5Z,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101853,ORD-501853,SALE,TQ3M90N9GF9YZFZPL,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101555,ORD-501555,SALE,TRYYHR0E3AF45KQX7,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101085,ORD-501085,SALE,UJT27WE0EDPBF4RB9,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100467,ORD-500467,SALE,ULFBX16J98RXZV2B6,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100288,ORD-500288,SALE,UY6HAR1T8EVB1NYBM,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100337,ORD-500337,SALE,VDP9KTDRU40U4QDY2,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100223,ORD-500223,SALE,VEGUKFEF3T86ZN7H9,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101456,ORD-501456,SALE,VEQVZ3ZTXJA1XTT14,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100470,ORD-500470,SALE,VNMMF48V1DVJ74V57,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100664,ORD-500664,SALE,W000X1YYPS63DVL1E,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100512,ORD-500512,SALE,WUVUXV2L8QW4J9CEC,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100646,ORD-500646,SALE,XNT03LDDP9QCAD9WB,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100243,ORD-500243,SALE,XSNJAYTDRRKU60L3L,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100013,ORD-500013,SALE,XX3HT3WKEZ76UBP9V,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101251,ORD-501251,SALE,Y9K7PSWNCEFAYMCTD,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-101184,ORD-501184,SALE,YC2H45VSTG94G24HQ,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100219,ORD-500219,SALE,YLYZ7HSHVNDJTY920,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100859,ORD-500859,SALE,YW5JG9QQE9X551BH8,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100789,ORD-500789,SALE,Z4BLUZCUSML2MQ1WL,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101927,ORD-501927,SALE,ZDWQ9N42VDZZKX0MY,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100320,ORD-500320,SALE,ZKUABZYX1LJFF36VN,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100883,ORD-500883,SALE,ZNEJEY6RTJQPSUUZH,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100873,ORD-500873,SALE,ZNW09FPPSSLWZ13BE,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100773,ORD-500773,SALE,00UJ83WB59DTTLC9P,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100092,ORD-500092,SALE,0E60WKF7X2WZW7WDH,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101200,ORD-501200,SALE,0JNK6F2LN7TNR76ZN,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101321,ORD-501321,SALE,0Y24YPZG3BSZQ0RK2,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101299,ORD-501299,SALE,1282HN3G04MXLTF2T,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101269,ORD-501269,SALE,16GFP0WG7P970J2TW,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101324,ORD-501324,SALE,19SRF1YW3X8XGXR0Z,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100588,ORD-500588,SALE,1R75YAHY66VE7K3KS,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101318,ORD-501318,SALE,1S3QN4FDWMC846FUY,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100853,ORD-500853,SALE,21PZHCQBDU6F5YD2X,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100580,ORD-500580,SALE,2JPMMVK03S7D5ZDVQ,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101809,ORD-501809,SALE,3APVGNYDE5RPBRMMC,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100471,ORD-500471,SALE,3MZRYE654R5S6YL6S,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100905,ORD-500905,SALE,3T4ZZ06H6LNMKEU63,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100278,ORD-500278,SALE,3YJDKXH1347J9Z6CL,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101261,ORD-501261,SALE,4J7YKDTYXK40B3FKF,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100324,ORD-500324,SALE,4WAQZLMB6GPFLY2WW,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101188,ORD-501188,SALE,58P04VSEVB4TRKY0D,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101157,ORD-501157,SALE,5DSKQXAQBJ4CX4HV8,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101709,ORD-501709,SALE,5P1NFVBBG1VBN3GJJ,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101552,ORD-501552,SALE,5SGP8QJKGG6SQZBLD,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100100,ORD-500100,SALE,6DFH0GFMDN7CPX9ZS,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100857,ORD-500857,SALE,6L9TR41K3V1JNM4J0,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101889,ORD-501889,SALE,6RN3L122WVR0JVTNT,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101990,ORD-501990,SALE,7BEJSKB7CW5ZWDUF3,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101519,ORD-501519,SALE,7Z91DXM8RX9V8EAAT,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-107800,ORD-500889,REFUND,81F66788AK0M3WLYF,USD,matched,engine,-4.99,-4.99,-4.99,0.00
paypal_us,TXN-101465,ORD-501465,SALE,8DPB3E5KHFKN8M52Z,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100643,ORD-500643,SALE,8HX664V93ZZSX6YN8,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100529,ORD-500529,SALE,8JH6LFDHP135WW9ZB,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-100994,ORD-500994,SALE,8K2L4C4B58EXZ4VM4,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101642,ORD-501642,SALE,919B6ZX2KJGZVFSLL,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100514,ORD-500514,SALE,95MDFJV5UUYHMU04T,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100730,ORD-500730,SALE,960LVPYWPMEG7XLP9,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100962,ORD-500962,SALE,98YFFTRD7TBBQ8YYL,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101398,ORD-501398,SALE,9E1DVH6MCZSE794PQ,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101227,ORD-501227,SALE,9L4DV2FS5D5PL6S6M,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100198,ORD-500198,SALE,9QCKNBHY1Q6Q9HXB4,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100311,ORD-500311,SALE,9YGSV9GVXZHRSM578,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100460,ORD-500460,SALE,A96DZGZ0Q3S6EGKXM,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100505,ORD-500505,SALE,AA7GSXKZLZXF4PC4H,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-101667,ORD-501667,SALE,ADXVWBGLEV2EC9G60,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101736,ORD-501736,SALE,AK761FGN59UTBCBZZ,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100967,ORD-500967,SALE,ANQ6S64VZP7U2NXUE,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101803,ORD-501803,SALE,AWFNDNS259H3WQS4R,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-100806,ORD-500806,SALE,C50QZSPHGT9Y2YTP2,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101904,ORD-501904,SALE,CC62J429DMBG1DV1S,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100985,ORD-500985,SALE,CCJDP3NM5DEMF9CS3,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101537,ORD-501537,SALE,CPUW58R549XPFSQCG,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101945,ORD-501945,SALE,D0ZU4WL1R35AYNTVD,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100733,ORD-500733,SALE,D6DYP4K2G5DGCCCP4,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-101594,ORD-501594,SALE,D7ZMQ4RHYLFZV2625,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100462,ORD-500462,SALE,DB3NFJX1VGRUMACVA,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-107824,ORD-501824,REFUND,DELWZPT0ENG4PKWP4,USD,matched,engine,-5.00,-5.00,-5.00,0.00
paypal_us,TXN-101960,ORD-501960,SALE,DKNWUEYW9WUPFHM2R,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100544,ORD-500544,SALE,DL83RUXRRV2TL6GTZ,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100846,ORD-500846,SALE,E3AHB63X94DM6QZCD,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101478,ORD-501478,SALE,E4QJ6ZRDK24GU6G5G,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100440,ORD-500440,SALE,E9QTF36G5WB146BD0,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100598,ORD-500598,SALE,EDN730S2NCMFQSE6B,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-101492,ORD-501492,SALE,EKM5YYJSGZGD2NBQM,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100202,ORD-500202,SALE,EPT3WD95UNQE67WH6,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101066,ORD-501066,SALE,EQLRDG3VXHUHVM1Z0,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100147,ORD-500147,SALE,EUMGDEE5DBYRSE0TB,USD,matched,engine,59.99,59.99,59.99,0.00
paypal_us,TXN-100965,ORD-500965,SALE,F5D3S7A5EWD1BJ760,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100526,ORD-500526,SALE,FD2855RH5DR0Y2M8F,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101672,ORD-501672,SALE,FWS6SSN71MG3KVPP2,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101577,ORD-501577,SALE,G1U6NB2H8JD639C22,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101007,ORD-501007,SALE,G78XUT0DM8YLR1T8A,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101814,ORD-501814,SALE,GENVVFF4SA7ZZY9TB,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101117,ORD-501117,SALE,GTNNTASKSCDMJY8MN,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101958,ORD-501958,SALE,HA5A0G65FS552T16F,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101684,ORD-501684,SALE,HK4KN3HNKZV2BAGJB,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101115,ORD-501115,SALE,J37K6V4EZZKGQ91B8,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101763,ORD-501763,SALE,J62HSET1U2D961UA1,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100178,ORD-500178,SALE,JEJQ6TXRCLA1EHW77,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-107818,ORD-501591,REFUND,JSRBF7TCUUN5QBQX3,USD,matched,engine,-5.00,-5.00,-5.00,0.00
paypal_us,TXN-101869,ORD-501869,SALE,JYR2R75L8BDD5UG0J,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101861,ORD-501861,SALE,K5N0AJAM60NMDYEXD,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101797,ORD-501797,SALE,KM2WRBUY3BDJ4EYQA,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-101405,ORD-501405,SALE,KM76JD3GUB6LM8DDQ,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100423,ORD-500423,SALE,KYVGAE96ZC8V664JL,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101010,ORD-501010,SALE,LNPR3H4HHQX4HAAEQ,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101061,ORD-501061,SALE,MDEXAPQECEBR3KVD6,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101392,ORD-501392,SALE,MDL2XRFXJ944ZFC08,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101266,ORD-501266,SALE,N10RGHY5QYAUKRZV6,USD,matched_declined,engine,0.00,0.00,0.00,0.00
paypal_us,TXN-100057,ORD-500057,SALE,N9EC11G802Z7YXXR3,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101236,ORD-501236,SALE,NC4CJCLCPUHEZ7S7Z,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-101695,ORD-501695,SALE,P4M3PCWQRN9XJ93SC,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-100642,ORD-500642,SALE,PWPZM3749Q1TCU02V,USD,matched,engine,24.99,24.99,24.99,0.00
paypal_us,TXN-100648,ORD-500648,SALE,QV67YZTVJ38BEDZ1Q,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101827,ORD-501827,SALE,RTXQ0Y4W5LW6PVAK5,USD,matched,engine,4.99,4.99,4.99,0.00
paypal_us,TXN-100384,ORD-500384,SALE,RXEXY5KZKVYA620L7,USD,matched,engine,9.99,9.99,9.99,0.00
paypal_us,TXN-101996,ORD-501996,SALE,RXNSVC5934PESWSLD,USD,matched,engine,59.99,59.99,59.99,0.00
